7zip 24.09-3
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-jinja 1:3.1.5-1
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-keyring 25.6.0-1
python-lark-parser 1.2.2-3
python-legacy-cgi 2.6.3-2
python-lockfile 0.12.2-14
python-lxml 5.4.0-1
python-mako 1.3.10-1
python-markdown 3.7-2
python-markupsafe 2.1.5-3
python-more-itertools 10.6.0-1
python-msgpack 1.0.5-3
python-numpy 2.2.5-1
python-packaging 25.0-1
python-pbs-installer 2025.03.17-1
python-pexpect 4.9.0-4
python-pkginfo 1.12.0-1
python-platformdirs 4.3.6-2
python-poetry 2.1.2-1
python-poetry-core 2.1.2-1
python-poetry-plugin-export 1.9.0-1
python-psutil 7.0.0-1
python-ptyprocess 0.7.0-8
python-pycparser 2.22-3
python-pygments 2.19.1-1
python-pymongo 4.12.0-1
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pyqt5-webengine 5.15.7-2
python-pyqt6 6.9.0-1
python-pyqt6-3d 6.9.0-1
python-pyqt6-charts 6.9.0-1
python-pyqt6-datavisualization 6.9.0-1
python-pyqt6-graphs 6.8.0-2
python-pyqt6-networkauth 6.9.0-1
python-pyqt6-sip 13.10.0-1
python-pyqt6-webengine 6.9.0-1
python-pysocks 1.7.1-10
python-pytz 2025.2-1
python-rapidfuzz 3.12.2-1
python-referencing 0.35.1-3
python-regex 2024.11.6-2
python-requests 2.32.3-4
python-requests-toolbelt 1.0.0-3
python-roman-numerals-py 3.1.0-1
python-rpds-py 0.22.3-1
python-secretstorage 3.3.3-6
python-setuptools 1:80.0.0-1
python-shellingham 1.5.4-3
python-six 1.17.0-1
python-snowballstemmer 2.2.0-7
python-sphinx 8.2.3-1
python-sphinx-alabaster-theme 1.0.0-4
python-sphinx_rtd_theme 2.0.0-2
python-sphinxcontrib-applehelp 2.0.0-3
python-sphinxcontrib-devhelp 2.0.0-4
python-sphinxcontrib-htmlhelp 2.1.0-3
python-sphinxcontrib-jquery 4.1-4
python-sphinxcontrib-jsmath 1.0.1-19
python-sphinxcontrib-qthelp 2.0.0-3
python-sphinxcontrib-serializinghtml 2.0.0-3
python-suntime 1.3.2-2
python-systemd 235-4
python-tomlkit 0.13.2-2
python-tqdm 4.67.1-2
python-trove-classifiers 2025.4.28.22-1
python-twisted 24.3.0-4
python-typing_extensions 4.13.2-1
python-urllib3 2.4.0-1
python-virtualenv 20.28.0-1
python-webencodings 0.5.1-12
python-wheel 0.45.1-1
python-yaml 6.0.2-2
python-zope-interface 7.2-1
qbittorrent 5.1.0-1
qca-qt6 2.3.10-1
qimgv 1.0.3+alpha+94+ge2675f13-1
qpwgraph 0.9.0-1
qqc2-desktop-style 6.13.0-1
qt5-base 5.15.16+kde+r131-1
qt5-declarative 5.15.16+kde+r22-3
qt5-imageformats 5.15.16+kde+r2-3
qt5-location 5.15.16+kde+r7-4
qt5-multimedia 5.15.16+kde+r2-3
qt5-quickcontrols2 5.15.16+kde+r5-3
qt5-svg 5.15.16+kde+r5-3
qt5-tools 5.15.16+kde+r3-6
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r60-1
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-7
qt5-websockets 5.15.16+kde+r2-3
qt5-x11extras 5.15.16-3
qt5ct 1.9-1
qt6-3d 6.9.0-1
qt6-5compat 6.9.0-1
qt6-base 6.9.0-1
qt6-charts 6.9.0-1
qt6-connectivity 6.9.0-1
qt6-datavis3d 6.9.0-1
qt6-declarative 6.9.0-2
qt6-doc 6.9.0-1
qt6-examples 6.9.0-1
qt6-graphs 6.9.0-1
qt6-grpc 6.9.0-2
qt6-httpserver 6.9.0-1
qt6-imageformats 6.9.0-1
qt6-languageserver 6.9.0-1
qt6-location 6.9.0-1
qt6-lottie 6.9.0-1
qt6-multimedia 6.9.0-1
qt6-multimedia-ffmpeg 6.9.0-1
qt6-networkauth 6.9.0-1
qt6-positioning 6.9.0-1
qt6-quick3d 6.9.0-1
qt6-quick3dphysics 6.9.0-1
qt6-quickeffectmaker 6.9.0-1
qt6-quicktimeline 6.9.0-1
qt6-remoteobjects 6.9.0-1
qt6-scxml 6.9.0-1
qt6-sensors 6.9.0-1
qt6-serialbus 6.9.0-1
qt6-serialport 6.9.0-1
qt6-shadertools 6.9.0-1
qt6-speech 6.9.0-1
qt6-svg 6.9.0-1
qt6-tools 6.9.0-2
qt6-translations 6.9.0-1
qt6-virtualkeyboard 6.9.0-1
qt6-wayland 6.9.0-2
qt6-webchannel 6.9.0-1
qt6-webengine 6.9.0-6
qt6-websockets 6.9.0-1
qt6-webview 6.9.0-1
qt6ct 0.10-3
quadcastrgb 1.0.2-2
quazip-qt5 1.5-1
ranger-git 1.9.3.793.gb31db0f6-1
rapidjson 1.1.0-6
raptor 2.0.16-7
rasqal 1:0.9.33-7
rav1e 0.7.1-1
re2 1:20240702-4
readline 8.2.013-1
recode 3.7.15-1
redland 1:1.0.17-9
rhash 1.4.4-1
ripgrep 14.1.1-1
ripgrep-all 0.10.6-3
rnnoise 1:0.2-1
rtkit 0.13-3
rubberband 4.0.0-1
rust 1:1.86.0-1
satty 0.16.0-1
sbc 2.0-2
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.56-1
sdl3 3.2.12-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.1-1
sequoia-sqv 1.3.0-1
serd 0.32.4-1
shaderc 2025.1-3
shadow 4.17.4-1
shared-mime-info 2.4-2
shiboken6 6.9.0-2
signon-kwallet-extension 25.04.0-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simdjson 1:3.12.3-1
slang 2.3.3-3
slurp 1.5.0-1
smbclient 2:4.22.1-1
snappy 1.2.2-2
sndio 1.10.0-1
sof-firmware 2025.01.1-1
solid 6.13.0-1
sonnet 6.13.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spdlog 1.15.2-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.309.0-1
spotify-launcher 0.6.3-1
sqlite 3.49.1-1
sratom 0.6.18-1
srt 1.5.4-1
steam 1.0.0.82-2
sudo 1.9.16.p2-2
suil 0.10.20-1
suitesparse 7.10.2-1
svt-av1 3.0.2-1
sway 1:1.10.1-2
swayidle 1.8.0-2
syncplay 1.7.4-1
syndication 6.13.0-1
syntax-highlighting 6.13.0-1
systemd 257.5-2
systemd-libs 257.5-2
systemd-sysvcompat 257.5-2
taglib 2.0.2-1
talloc 2.4.3-1
tar 1.35-2
tdb 1.4.13-1
tevent 1:0.16.2-1
texinfo 7.2-1
tinysparql 3.9.2-2
tmux 3.5_a-1
tomlplusplus 3.4.0-1
tor 0.4.8.16-1
torbrowser-launcher 0.3.7-3
tpm2-tss 4.1.3-1
tree-sitter 0.25.3-1
tree-sitter-c 0.23.5-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.5.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-hanazono 20170904-5
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-sazanami 20040629-11
ttf-vlgothic 20230918-2
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.1-5
unibilium 2.1.2-1
unzip 6.0-22
upower 1.90.9-1
usbutils 018-1
uthash 2.3.0-2
util-linux 2.41-4
util-linux-libs 2.41-4
v4l-utils 1.28.1-2
v4l2loopback-dkms 0.14.0-1
vamp-plugin-sdk 2.10.0-3
vapoursynth R70-2
verdict 1.4.2-1
vid.stab 1.1.1-2
vmaf 3.0.0-1
volume_key 0.3.12-10
vopono 0.10.11-1
vulkan-headers 1:1.4.309.0-1
vulkan-icd-loader 1.4.309.0-1
vulkan-tools 1.4.309.0-1
w3m 0.5.3.git20230713_1-1
wavpack 5.8.1-1
waybar 0.12.0-1
wayland 1.23.1-2
wayland-protocols 1.44-1
webrtc-audio-processing-1 1.3-4
wf-recorder 0.5.0-2
wget 1.25.0-2
which 2.23-1
wildmidi 0.4.6-1
wine 10.7-1
wireguard-tools 1.0.20210914-2
wireplumber 0.5.8-1
wl-clipboard 1:2.2.1-2
wlroots 0.18.2-2
wofi 1.4.1-1
wpa_supplicant 2:2.11-3
wxwidgets-common 3.2.8-1
wxwidgets-gtk3 3.2.8-1
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.0-2
xdg-desktop-portal-hyprland 1.3.9-9
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xkeyboard-config 2.44-1
xmlsec 1.3.7-2
xorg-fonts-encodings 1.1.0-1
xorg-server-common 21.1.16-1
xorg-setxkbmap 1.3.4-2
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.6-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yajl 2.1.0-6
yaml-cpp 0.8.0-2
yin-yang 4.0-1
yt-dlp 2025.04.30-1
yyjson 0.10.0-1
zenity 4.1.90-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zram-generator 1.2.1-1
zsh 5.9-5
zsh-theme-powerlevel10k 1.20.15-1
zstd 1.5.7-2
zxing-cpp 2.3.0-4
zziplib 0.13.79-1
